ticker,name,exchange,category name,country
SH0.F,"Shionogi & Co., Ltd.",FRA,,France
P7T.F,PT Bank Pembangunan Daerah Jawa Timur Tbk,FRA,,France
OIX.F,ORIX Corporation,FRA,,France
OBL.F,"OBIC Co., Ltd.",FRA,,France
OBA.F,Obayashi Corporation,FRA,,France
NYKA.F,Nippon Yusen Kabushiki Kaisha,FRA,,France
NTT.F,Nippon Telegraph and Telephone Corporation,FRA,,France
NIB.F,Nidec Corporation,FRA,,France
MUJ.F,Mitsubishi Materials Corporation,FRA,,France
MSTY.PA,Mainstay Medical International plc,PAR,Medical Appliances & Equipment,France
MSI.F,"Mitsui Chemicals, Inc.",FRA,,France
MILA.F,"Mitsui O.S.K. Lines, Ltd.",FRA,,France
MFZ.F,"Mitsubishi UFJ Financial Group, Inc.",FRA,,France
MEC.F,"Meiko Electronics Co., Ltd.",FRA,,France
KYR.F,Kyocera Corporation,FRA,,France
KUY.F,"Kuraray Co., Ltd.",FRA,,France
KLI1.F,"Kawasaki Kisen Kaisha, Ltd.",FRA,,France
KHE.F,"Kawasaki Heavy Industries, Ltd.",FRA,,France
KEE.F,Keyence Corporation,FRA,,France
JUVE.F,Juventus Football Club S.p.A.,FRA,,France
JTI.F,Ju Teng International Holdings Limited,FRA,,France
JSY.F,JustSystems Corporation,FRA,,France
JM2.F,The J. M. Smucker Company,FRA,,France
JKX.F,JKX Oil & Gas plc,FRA,,France
JI5.F,Jubilee Platinum Plc,FRA,,France
JFM.F,"J. Front Retailing Co., Ltd.",FRA,,France
JEV.F,Kenmare Resources plc,FRA,,France
JCL.F,CALICO RESOURCES CORP.,FRA,,France
JAT.F,Japan Tobacco Inc.,FRA,,France
JAF.F,"JAFCO Co., Ltd.",FRA,,France
J9R.F,"The Japan Steel Works, Ltd.",FRA,,France
J6W.F,Alexco Resource Corp.,FRA,,France
J2E.F,Jupiter Energy Limited,FRA,,France
HS6.F,HASEKO Corporation,FRA,,France
HKU.F,H2O Retailing Corporation,FRA,,France
HIA1.F,"Hitachi, Ltd.",FRA,,France
HDZ.F,Shimadzu Corporation,FRA,,France
HCM.F,"Hitachi Construction Machinery Co., Ltd.",FRA,,France
GJAJ.PA,Groupe JAJ,PAR,Textile - Apparel Clothing,France
GDZD.F,Jinchuan Group International Resources Co. Ltd,FRA,,France
EZ3.F,"Excel Co.,Ltd.",FRA,,France
DIK.F,Denka Company Limited,FRA,,France
DEC.PA,JCDecaux SA,PAR,Advertising Agencies,France
DAO.F,"SCREEN Holdings Co., Ltd.",FRA,,France
CPK.F,"Capcom Co., Ltd.",FRA,,France
CMC.F,JPMorgan Chase & Co.,FRA,Money Center Banks,France
CBR.F,CHIBA BK LTD,FRA,,France
ANK.F,"Sompo Holdings, Inc.",FRA,,France
AA2.F,AMADA HOLDINGS CO. LTD.,FRA,,France
82C.F,Circassia Pharmaceuticals Plc,FRA,,France
7X3.F,XLMedia PLC,FRA,,France
7SN.F,SUNTORY BEVERAG.+FOOD LTD,FRA,,France
6DX.F,Dexerials Corporation,FRA,,France
5JB.F,Jumbo S.A.,FRA,,France
54JN.F,Jura Energy Corporation,FRA,,France
4VL.F,"GENEL ENERGY LS -,10",FRA,,France
4D7.F,Daito Trust Construction Co. Ltd.,FRA,,France
3QN.F,3QN.F,FRA,,France
3N8.F,Nabtesco Corporation,FRA,,France
0WP.F,WPP plc,FRA,,France
