ticker,name,exchange,category name,country
VNET.L,Vianet Group plc,LSE,,United Kingdom
VLK.L,Pebble Beach Systems Group plc,LSE,,United Kingdom
VELA.L,Vela Technologies PLC,LSE,,United Kingdom
TW.L,Taylor Wimpey plc,LSE,Residential Construction,United Kingdom
TRX.L,Tissue Regenix Group plc,LSE,Biotechnology,United Kingdom
TRK.L,Torotrak plc,LSE,Auto Parts,United Kingdom
TON.L,Titon Holdings plc,LSE,General Building Materials,United Kingdom
TLPR.L,Tullett Prebon plc,LSE,,United Kingdom
TIGT.L,Troy Income & Growth Trust Plc,LSE,,United Kingdom
TIDE.L,Crimson Tide plc,LSE,Business Software & Services,United Kingdom
THRG.L,BlackRock Throgmorton Trust plc,LSE,,United Kingdom
TGBL.IL,TATA GLOBAL BEVERAGES LD GDS (E,IOB,,United Kingdom
TED.L,Ted Baker PLC,LSE,,United Kingdom
TALK.L,TalkTalk Telecom Group PLC,LSE,Wireless Communications,United Kingdom
SYNT.L,Synthomer plc,LSE,,United Kingdom
SVT.L,Severn Trent Plc,LSE,Water Utilities,United Kingdom
SVE.L,Starvest plc,LSE,Asset Management,United Kingdom
SVCA.L,Servoca Plc,LSE,Staffing & Outsourcing Services,United Kingdom
SUH.L,Sutton Harbour Holdings plc,LSE,Shipping,United Kingdom
STJ.L,St. James's Place plc,LSE,Life Insurance,United Kingdom
STHR.L,SThree plc,LSE,Staffing & Outsourcing Services,United Kingdom
STB.L,Secure Trust Bank Plc,LSE,Money Center Banks,United Kingdom
STAF.L,Staffline Group plc,LSE,Staffing & Outsourcing Services,United Kingdom
SRB.L,Serabi Gold plc,LSE,Gold,United Kingdom
SPO.L,Sportech PLC,LSE,Resorts & Casinos,United Kingdom
SPI.L,Spire Healthcare Group Plc,LSE,Business Services,United Kingdom
SOLG.L,SolGold plc,LSE,Industrial Metals & Minerals,United Kingdom
SNT.L,Sabien Technology Group Plc,LSE,Diversified Machinery,United Kingdom
SN.L,Smith & Nephew plc,LSE,Medical Appliances & Equipment,United Kingdom
SML.L,Strategic Minerals plc,LSE,Steel & Iron,United Kingdom
SMJ.L,J. Smart & Co. (Contractors) PLC,LSE,Property Management,United Kingdom
SKY.L,Sky plc,LSE,,United Kingdom
SIV.L,St Ives plc,LSE,Business Services,United Kingdom
SHRE.L,Share Plc,LSE,Investment Brokerage - National,United Kingdom
SHI.L,SIG plc,LSE,Industrial Equipment Wholesale,United Kingdom
SGRO.L,SEGRO plc,LSE,REIT - Industrial,United Kingdom
SEPU.L,Sepura PLC,LSE,,United Kingdom
SDRC.L,Schroders plc,LSE,Asset Management,United Kingdom
SDL.L,SDL plc,LSE,Technical & System Software,United Kingdom
