NAME OF COMPANY,SYMBOL,Yahoo Ticker,IPO Year
Biofil Chemicals & Pharmaceuticals Limited,BIOFILCHEM,BIOFILCHEM.NS,1996
Birla Cable Limited,BIRLACABLE,BIRLACABLE.NS,1995
Birla Corporation Limited,BIRLACORPN,BIRLACORPN.NS,1995
Aditya Birla Money Limited,BIRLAMONEY,BIRLAMONEY.NS,2008
BirlaNu Limited,BIRLANU,BIRLANU.NS,1995
BLACKBUCK LIMITED,BLACKBUCK,BLACKBUCK.NS,2024
BEML Land Assets Limited,BLAL,BLAL.NS,2023
BLB Limited,BLBLIMITED,BLBLIMITED.NS,2000
Bliss GVS Pharma Limited,BLISSGVS,BLISSGVS.NS,2010
B. L. Kashyap and Sons Limited,BLKASHYAP,BLKASHYAP.NS,2006
BLS International Services Limited,BLS,BLS.NS,2016
BLS E-Services Limited,BLSE,BLSE.NS,2024
Blue Coast Hotels Limited,BLUECOAST,BLUECOAST.NS,2000
Blue Dart Express Limited,BLUEDART,BLUEDART.NS,2002
Blue Jet Healthcare Limited,BLUEJET,BLUEJET.NS,2023
Blue Star Limited,BLUESTARCO,BLUESTARCO.NS,2000
BlueStone Jewellery and Lifestyle Limited,BLUESTONE,BLUESTONE.NS,2025
Bluspring Enterprises Limited,BLUSPRING,BLUSPRING.NS,2025
BMW Ventures Limited,BMWVENTLTD,BMWVENTLTD.NS,2025
Bodal Chemicals Limited,BODALCHEM,BODALCHEM.NS,2011
Bohra Industries Limited,BOHRAIND,BOHRAIND.NS,2022
Bombay Dyeing & Mfg Company Limited,BOMDYEING,BOMDYEING.NS,1995
Borana Weaves Limited,BORANA,BORANA.NS,2025
Borosil Limited,BOROLTD,BOROLTD.NS,2020
BOROSIL RENEWABLES LIMITED,BORORENEW,BORORENEW.NS,2018
Borosil Scientific Limited,BOROSCI,BOROSCI.NS,2024
Bosch Limited,BOSCHLTD,BOSCHLTD.NS,2003
Bharat Petroleum Corporation Limited,BPCL,BPCL.NS,1995
BPL Limited,BPL,BPL.NS,1995
Brigade Enterprises Limited,BRIGADE,BRIGADE.NS,2007
Brigade Hotel Ventures Limited,BRIGHOTEL,BRIGHOTEL.NS,2025
Britannia Industries Limited,BRITANNIA,BRITANNIA.NS,1998
Bharat Road Network Limited,BRNL,BRNL.NS,2017
Brooks Laboratories Limited,BROOKS,BROOKS.NS,2011
BSE Limited,BSE,BSE.NS,2017
Bombay Super Hybrid Seeds Limited,BSHSL,BSHSL.NS,2020
BSL Limited,BSL,BSL.NS,1995
BIRLASOFT LIMITED,BSOFT,BSOFT.NS,1999
Bodhi Tree Multimedia Limited,BTML,BTML.NS,2023
Butterfly Gandhimathi Appliances Limited,BUTTERFLY,BUTTERFLY.NS,2014
Barak Valley Cements Limited,BVCL,BVCL.NS,2007
The Byke Hospitality Ltd,BYKE,BYKE.NS,2015
California Software Company Limited,CALSOFT,CALSOFT.NS,2000
Camlin Fine Sciences Limited,CAMLINFINE,CAMLINFINE.NS,2015
Campus Activewear Limited,CAMPUS,CAMPUS.NS,2022
Computer Age Management Services Limited,CAMS,CAMS.NS,2021
Canara Bank,CANBK,CANBK.NS,2002
Can Fin Homes Limited,CANFINHOME,CANFINHOME.NS,1995
Canara HSBC Life Insurance Company Limited,CANHLIFE,CANHLIFE.NS,2025
Cantabil Retail India Limited,CANTABIL,CANTABIL.NS,2010
Capacit'e Infraprojects Limited,CAPACITE,CAPACITE.NS,2017
Capillary Technologies India Limited,CAPILLARY,CAPILLARY.NS,2025
Capital Small Finance Bank Limited,CAPITALSFB,CAPITALSFB.NS,2024
Caplin Point Laboratories Limited,CAPLIPOINT,CAPLIPOINT.NS,2014
Capital Trust Limited,CAPTRUST,CAPTRUST.NS,2017
Carborundum Universal Limited,CARBORUNIV,CARBORUNIV.NS,1996
CARE Ratings Limited,CARERATING,CARERATING.NS,2012
Carraro India Limited,CARRARO,CARRARO.NS,2024
Cartrade Tech Limited,CARTRADE,CARTRADE.NS,2021
CARYSIL LIMITED,CARYSIL,CARYSIL.NS,2021
Castrol India Limited,CASTROLIND,CASTROLIND.NS,2014
Consolidated Construction Consortium Limited,CCCL,CCCL.NS,2007
Country Club Hospitality & Holidays Limited,CCHHL,CCHHL.NS,2015
CCL Products (India) Limited,CCL,CCL.NS,2004
Central Depository Services (India) Limited,CDSL,CDSL.NS,2017
CEAT Limited,CEATLTD,CEATLTD.NS,2008
Ceigall India Limited,CEIGALL,CEIGALL.NS,2024
Celebrity Fashions Limited,CELEBRITY,CELEBRITY.NS,2006
Cello World Limited,CELLO,CELLO.NS,2023
Cemindia Projects Limited,CEMPRO,CEMPRO.NS,1999
Century Enka Limited,CENTENKA,CENTENKA.NS,1995
Century Extrusions Limited,CENTEXT,CENTEXT.NS,2004
Central Bank of India,CENTRALBK,CENTRALBK.NS,2007
Centrum Capital Limited,CENTRUM,CENTRUM.NS,2018
Centum Electronics Limited,CENTUM,CENTUM.NS,2007
Century Plyboards (India) Limited,CENTURYPLY,CENTURYPLY.NS,2006
Cera Sanitaryware Limited,CERA,CERA.NS,2007
Cerebra Integrated Technologies Limited,CEREBRAINT,CEREBRAINT.NS,2013
CESC Limited,CESC,CESC.NS,1995
Concord Enviro Systems Limited,CEWATER,CEWATER.NS,2024
Capri Global Capital Limited,CGCL,CGCL.NS,2010
CG Power and Industrial Solutions Limited,CGPOWER,CGPOWER.NS,1995
Chalet Hotels Limited,CHALET,CHALET.NS,2019
Chambal Fertilizers & Chemicals Limited,CHAMBLFERT,CHAMBLFERT.NS,1995
Chembond Material Technologies Limited,CHEMBOND,CHEMBOND.NS,2019
Chembond Chemicals Limited,CHEMBONDCH,CHEMBONDCH.NS,2025
Chemcon Speciality Chemicals Limited,CHEMCON,CHEMCON.NS,2020
Chemfab Alkalis Limited,CHEMFAB,CHEMFAB.NS,2018
Chemplast Sanmar Limited,CHEMPLASTS,CHEMPLASTS.NS,2021
Chennai Petroleum Corporation Limited,CHENNPETRO,CHENNPETRO.NS,2000
Cheviot Company Limited,CHEVIOT,CHEVIOT.NS,2022
Choice International Limited,CHOICEIN,CHOICEIN.NS,2022
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,CHOLAFIN.NS,1996
Cholamandalam Financial Holdings Limited,CHOLAHLDNG,CHOLAHLDNG.NS,2017
CIE Automotive India Limited,CIEINDIA,CIEINDIA.NS,2007
Capital India Finance Limited,CIFL,CIFL.NS,2025
Cigniti Technologies Limited,CIGNITITEC,CIGNITITEC.NS,2014
Cineline India Limited,CINELINE,CINELINE.NS,2012
Cinevista Limited,CINEVISTA,CINEVISTA.NS,2000
Cipla Limited,CIPLA,CIPLA.NS,1995
Clean Science and Technology Limited,CLEAN,CLEAN.NS,2021
CL Educate Limited,CLEDUCATE,CLEDUCATE.NS,2017
Chaman Lal Setia Exports Limited,CLSEL,CLSEL.NS,2021
CMS Info Systems Limited,CMSINFO,CMSINFO.NS,2021
Creative Newtech Limited,CNL,CNL.NS,2019
Coal India Limited,COALINDIA,COALINDIA.NS,2010
Coastal Corporation Limited,COASTCORP,COASTCORP.NS,2021
Cochin Shipyard Limited,COCHINSHIP,COCHINSHIP.NS,2017
Coffee Day Enterprises Limited,COFFEEDAY,COFFEEDAY.NS,2015
Coforge Limited,COFORGE,COFORGE.NS,2004
